"","Province_State","Country_Region","Date","Confirmed","Deaths","Recovered"
"732","CA","US",2020-03-16,557,7,6
"733","MA","US",2020-03-16,197,0,1
"734","NJ","US",2020-03-16,178,2,1
"735","CO","US",2020-03-16,160,1,0
"736","FL","US",2020-03-16,155,5,0
"737","LA","US",2020-03-16,136,3,0
"738","GA","US",2020-03-16,121,1,0
"739","IL","US",2020-03-16,105,0,2
"740","TX","US",2020-03-16,85,0,0
"741","PA","US",2020-03-16,77,0,0
"742","MN","US",2020-03-16,54,0,0
"743","MI","US",2020-03-16,53,0,0
"744","TN","US",2020-03-16,52,0,0
"745","OH","US",2020-03-16,50,0,0
"746","VA","US",2020-03-16,49,1,0
"747","WI","US",2020-03-16,47,0,1
"748","NV","US",2020-03-16,45,1,0
"749","MD","US",2020-03-16,41,0,3
"750","OR","US",2020-03-16,39,1,0
"751","UT","US",2020-03-16,39,0,0
"752","NC","US",2020-03-16,38,0,0
"753","SC","US",2020-03-16,33,1,0
"754","CT","US",2020-03-16,30,0,0
"755","AL","US",2020-03-16,29,0,0
"756","IN","US",2020-03-16,25,1,0
"757","IA","US",2020-03-16,23,0,0
"758","AR","US",2020-03-16,22,0,0
"759","DC","US",2020-03-16,22,0,0
"760","KY","US",2020-03-16,21,1,1
"761","RI","US",2020-03-16,21,0,0
"762","AZ","US",2020-03-16,18,0,1
"763","NE","US",2020-03-16,18,0,0
"764","ME","US",2020-03-16,17,0,0
"765","NH","US",2020-03-16,17,0,0
"766","NM","US",2020-03-16,17,0,0
"767","MS","US",2020-03-16,13,0,0
"768","VT","US",2020-03-16,12,0,0
"769","KS","US",2020-03-16,11,1,0
"770","OK","US",2020-03-16,10,0,0
"771","SD","US",2020-03-16,10,1,0
"772","DE","US",2020-03-16,8,0,0
"773","HI","US",2020-03-16,7,0,0
"774","MT","US",2020-03-16,7,0,0
"775","MO","US",2020-03-16,6,0,0
"776","ID","US",2020-03-16,5,0,0
"777","PR","US",2020-03-16,5,0,0
"778","GU","US",2020-03-16,3,0,0
"779","WY","US",2020-03-16,3,0,0
"780","AK","US",2020-03-16,1,0,0
"781","ND","US",2020-03-16,1,0,0
"782","VI","US",2020-03-16,1,0,0
